mega_area,source_room,source_map,direction,target_room,target_map,source_portal,target_opposite_portal,roomtable_reciprocal,source_position,target_position,status,notes
mega_04,r_166,map166,east,r_167,map167,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_04,r_167,map167,north,r_163,map163,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_04,r_167,map167,west,r_166,map166,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_171,map171,east,r_172,map172,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_171,map171,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_05,r_172,map172,south,r_176,map176,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_172,map172,east,r_173,map173,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_172,map172,west,r_171,map171,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_173,map173,north,r_17a,map17a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_173,map173,south,r_177,map177,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_173,map173,east,r_174,map174,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_173,map173,west,r_172,map172,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_17a,map17a,south,r_173,map173,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_174,map174,east,r_175,map175,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_174,map174,west,r_173,map173,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_175,map175,west,r_174,map174,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_176,map176,north,r_172,map172,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_176,map176,east,r_177,map177,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_177,map177,north,r_173,map173,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_177,map177,west,r_176,map176,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_181,map181,east,r_182,map182,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_181,map181,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_05,r_182,map182,south,r_186,map186,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_182,map182,east,r_183,map183,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_182,map182,west,r_181,map181,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_183,map183,north,r_18a,map18a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_183,map183,south,r_187,map187,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_183,map183,east,r_184,map184,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_183,map183,west,r_182,map182,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_18a,map18a,south,r_183,map183,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_184,map184,east,r_185,map185,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_184,map184,west,r_183,map183,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_185,map185,west,r_184,map184,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_186,map186,north,r_182,map182,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_186,map186,east,r_187,map187,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_187,map187,north,r_183,map183,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_187,map187,west,r_186,map186,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_191,map191,east,r_192,map192,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_191,map191,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_05,r_192,map192,south,r_196,map196,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_192,map192,east,r_193,map193,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_192,map192,west,r_191,map191,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_193,map193,north,r_19a,map19a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_193,map193,south,r_197,map197,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_193,map193,east,r_194,map194,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_193,map193,west,r_192,map192,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_19a,map19a,south,r_193,map193,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_194,map194,east,r_195,map195,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_194,map194,west,r_193,map193,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_195,map195,west,r_194,map194,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_196,map196,north,r_192,map192,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_196,map196,east,r_197,map197,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_197,map197,north,r_193,map193,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_197,map197,west,r_196,map196,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_201,map201,east,r_202,map202,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_201,map201,west,r_town,maptown,YES,NO,NO,-13:1,,LEGACY_EXTERNAL_DISABLED,Mega Run 그래프 밖의 마을/레거시 연결이며 RoomPortal.RefreshRunBinding에서 비활성화
mega_05,r_202,map202,south,r_206,map206,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_202,map202,east,r_203,map203,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_202,map202,west,r_201,map201,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_203,map203,north,r_20a,map20a,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_203,map203,south,r_207,map207,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_203,map203,east,r_204,map204,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_203,map203,west,r_202,map202,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_20a,map20a,south,r_203,map203,YES,YES,YES,0:-6,0:8,PASS_STATIC,
mega_05,r_204,map204,east,r_205,map205,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_204,map204,west,r_203,map203,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_205,map205,west,r_204,map204,YES,YES,YES,-13:1,13:1,PASS_STATIC,
mega_05,r_206,map206,north,r_202,map202,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_206,map206,east,r_207,map207,YES,YES,YES,13:1,-13:1,PASS_STATIC,
mega_05,r_207,map207,north,r_203,map203,YES,YES,YES,0:8,0:-6,PASS_STATIC,
mega_05,r_207,map207,west,r_206,map206,YES,YES,YES,-13:1,13:1,PASS_STATIC,
